Ano Censo,Número de Cursos,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE MICRO E PEQUENAS EMPRESAS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS AREA PROFISSIONAL GESTAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS AREA PROFISSIONAL GESTAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS EAD FIAN,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE SEGURANCA PESSOAL E PATRIMONIAL AREA PROFISSIONALGESTAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE SEGURANCA PUBLICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE SERVICOS DE SAUDE EAD FIAN,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE VAREJO E SERVICOS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DESPORTIVA E DE LAZER - CAMPUS NATAL-CENTRAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DO TURISMO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO E MARKETING DE PEQUENAS E MEDIAS EMPRESAS - EAD,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO ESTRATEGICA DAS ORGANIZACOES,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA AGRUPAMENTO DE AREAS PROFISSIONAIS COMERCIO E GESTAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA AREA PROFISSIONAL GESTAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA AREA PROFISSIONAL GESTAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA MODALIDADE A DISTANCIA AREA PROFISSIONAL GESTAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA  MODALIDADE A DISTANCIA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA AGRUPAMENTO DE AREA PROFISSIONAL COMERCIO E GESTAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM HOTELARIA AREA PROFISSIONAL LAZER E DESENVOLVIMENTO SOCIAL TURISMO E HOSPITALIDADE,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM LOGISTICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM LOGISTICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM LOGISTICA  MODALIDADE A DISTANCIA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM MARKETING,RN,NE
