Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Nome Curso,Sigla UF,Sigla Região
2012,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMPUTAÇÃO,COMPUTAÇÃO,RN,NE
2012,299,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICAÇÃO SOCIAL,COMUNICAÇÃO SOCIAL,RN,NE
2012,277,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICAÇÃO SOCIAL,COMUNICAÇÃO SOCIAL,RN,NE
2012,460,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICAÇÃO SOCIAL,COMUNICAÇÃO SOCIAL,RN,NE
2012,239,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,RN,NE
2012,107,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,COMÉRCIO EXTERIOR,RN,NE
2012,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,COMÉRCIO EXTERIOR,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,COMÉRCIO EXTERIOR,RN,NE
2012,62,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,COMÉRCIO EXTERIOR,RN,NE
2012,164,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUÇÃO DE EDIFÍCIOS,RN,NE
2012,116,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DANÇA,DANÇA,RN,NE
2012,139,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DESIGN,DESIGN,RN,NE
2012,372,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DESIGN DE INTERIORES,DESIGN DE INTERIORES,RN,NE
2012,381,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DESIGN GRÁFICO,DESIGN GRÁFICO,RN,NE
2012,830,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,3675,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,512,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,522,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,518,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,736,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,155,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,230,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,1433,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,357,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,DIREITO,RN,NE
2012,231,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ECOLOGIA,ECOLOGIA,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO ARTÍSTICA,EDUCAÇÃO ARTÍSTICA,RN,NE
2012,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO ARTÍSTICA,EDUCAÇÃO ARTÍSTICA,RN,NE
2012,221,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,RN,NE
2012,215,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,RN,NE
2012,324,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,RN,NE
2012,710,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,RN,NE
2012,162,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,RN,NE
2012,193,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,RN,NE
2012,214,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,RN,NE
