Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2009,171,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ECOLOGIA NATAL,RN,NE
2009,49,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCACAO ARTISTICA NATAL ARTES CENICAS,RN,NE
2009,35,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCACAO ARTISTICA NATAL ARTES PLASTICAS,RN,NE
2009,12,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCACAO ARTISTICA NATAL MUSICA,RN,NE
2009,94,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCACAO FISICA,RN,NE
2009,598,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCACAO FISICA - EDUCACAO FISICA,RN,NE
2009,430,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCACAO FISICA NATAL,RN,NE
2009,736,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2009,1693,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2009,396,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2009,255,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
